,bands/lf,bands/uf,bands/s,bands/u,bands/v,bw,range
0,,,Unallocated,,,100.0,0.0
1,,,Unallocated,,,100.0,100.0
2,,,Unallocated,,,100.0,200.0
3,,,Unallocated,,,100.0,300.0
4,,,Unallocated,,,100.0,400.0
5,,,Unallocated,,,100.0,500.0
6,,,Unallocated,,,100.0,600.0
7,703.0,713.0,Mobile and Wireless broadband,Spectrum Access Telefonica (Uplink),1,10.0,700.0
8,713.0,723.0,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Uplink),1,10.0,700.0
9,723.0,733.0,Mobile and Wireless broadband,Spectrum Access EE (Uplink),1,10.0,700.0
10,758.0,768.0,Mobile and Wireless broadband,Spectrum Access Telefonica (Downlink),1,10.0,700.0
11,778.0,788.0,Mobile and Wireless broadband,Spectrum Access EE (Downlink),1,10.0,700.0
12,791.0,796.0,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Downlink),1,5.0,700.0
13,791.0,796.0,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Downlink),1,5.0,700.0
14,796.0,801.0,Mobile and Wireless broadband,Spectrum Access EE (Downlink),1,5.0,700.0
15,,,Unallocated,,,35.0,700.0
16,801.0,811.0,Mobile and Wireless broadband,Spectrum Access Vodafone (Downlink),1,10.0,800.0
17,811.0,821.0,Mobile and Wireless broadband,Spectrum Access Telefonica (Downlink),1,10.0,800.0
18,832.0,837.0,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Uplink),1,5.0,800.0
19,837.0,842.0,Mobile and Wireless broadband,Spectrum Access EE (Uplink),1,5.0,800.0
20,842.0,852.0,Mobile and Wireless broadband,Spectrum Access Vodafone (Uplink),1,10.0,800.0
21,852.0,862.0,Mobile and Wireless broadband,Spectrum Access Telefonica (Uplink),1,10.0,800.0
22,880.1,885.1,Mobile and Wireless broadband,PWN Vodafone (Uplink),1,5.0,800.0
23,885.1,890.1,Mobile and Wireless broadband,PWN Telefonica UK (Uplink),1,5.0,800.0
24,890.1,902.5,Mobile and Wireless broadband,PWN Vodafone (Uplink),1,12.399999999999977,800.0
25,,,Unallocated,,,27.600000000000023,800.0
26,902.5,914.9,Mobile and Wireless broadband,PWN Telefonica UK (Uplink),1,12.399999999999977,900.0
27,925.1,930.1,Mobile and Wireless broadband,PWN Vodafone (Downlink),1,5.0,900.0
28,930.1,935.1,Mobile and Wireless broadband,PWN Telefonica UK (Downlink),1,5.0,900.0
29,935.1,947.5,Mobile and Wireless broadband,PWN Vodafone (Downlink),1,12.399999999999977,900.0
30,947.5,955.1,Mobile and Wireless broadband,PWN Vodafone (Downlink),1,7.600000000000023,900.0
31,,,Unallocated,,,57.60000000000002,900.0
32,,,Unallocated,,,100.0,1000.0
33,,,Unallocated,,,100.0,1100.0
34,,,Unallocated,,,100.0,1200.0
35,,,Unallocated,,,100.0,1300.0
36,1452.0,1472.0,Mobile and Wireless broadband,Spectrum Access Vodafone,1,20.0,1400.0
37,1472.0,1492.0,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Uplink),1,20.0,1400.0
38,,,Unallocated,,,60.0,1400.0
39,,,Unallocated,,,100.0,1500.0
40,,,Unallocated,,,100.0,1600.0
41,1710.1,1715.9,Mobile and Wireless broadband,PWN Telefonica UK (Uplink),1,5.800000000000182,1700.0
42,1715.9,1721.7,Mobile and Wireless broadband,PWN Vodafone (Uplink),1,5.7999999999999545,1700.0
43,1721.7,1731.7,Mobile and Wireless broadband,PWN EE (Uplink),1,10.0,1700.0
44,1721.7,1731.7,Mobile and Wireless broadband,PWN Hutchison 3G (Uplink),1,10.0,1700.0
45,1731.7,1736.7,Mobile and Wireless broadband,PWN EE (Uplink),1,5.0,1700.0
46,1731.7,1736.7,Mobile and Wireless broadband,PWN Hutchison 3G (Uplink),1,5.0,1700.0
47,1736.7,1781.7,Mobile and Wireless broadband,PWN EE (Uplink),1,45.0,1700.0
48,1781.7,1785.0,Mobile and Wireless broadband,Shared Access (Low Power),1,3.2999999999999545,1700.0
49,1781.7,1785.0,Mobile and Wireless broadband,Shared Access (Medium Power),1,3.2999999999999545,1700.0
50,1785.0,1805.0,Mobile and Wireless broadband,1785-1805 MHz Northern Ireland Award,1,20.0,1700.0
51,,,Unallocated,,,0,1700.0
52,1805.1,1810.9,Mobile and Wireless broadband,PWN Telefonica UK (Downlink),1,5.800000000000182,1800.0
53,1810.9,1816.7,Mobile and Wireless broadband,PWN Vodafone (Downlink),1,5.7999999999999545,1800.0
54,1816.7,1826.7,Mobile and Wireless broadband,PWN EE (Downlink),1,10.0,1800.0
55,1816.7,1826.7,Mobile and Wireless broadband,PWN Hutchison 3G (Downlink),1,10.0,1800.0
56,1826.7,1831.7,Mobile and Wireless broadband,PWN EE (Downlink),1,5.0,1800.0
57,1826.7,1831.7,Mobile and Wireless broadband,PWN Hutchison 3G (Downlink),1,5.0,1800.0
58,1831.7,1876.7,Mobile and Wireless broadband,PWN EE (Downlink),1,45.0,1800.0
59,1876.7,1880.0,Mobile and Wireless broadband,Shared Access (Low Power),1,3.2999999999999545,1800.0
60,1876.7,1880.0,Mobile and Wireless broadband,Shared Access (Medium Power),1,3.2999999999999545,1800.0
61,1899.9,1909.9,Mobile and Wireless broadband,Spectrum Access EE,1,10.0,1800.0
62,,,Unallocated,,,0,1800.0
63,1909.9,1914.9,Mobile and Wireless broadband,Spectrum Access Telefonica,1,5.0,1900.0
64,1914.9,1920.0,Mobile and Wireless broadband,Spectrum Access Hutchison 3G,1,5.099999999999909,1900.0
65,1920.0,1934.9,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Uplink),1,14.900000000000091,1900.0
66,1934.9,1944.9,Mobile and Wireless broadband,Spectrum Access Telefonica (Uplink),1,10.0,1900.0
67,1944.9,1959.7,Mobile and Wireless broadband,Spectrum Access Vodafone (Uplink),1,14.799999999999955,1900.0
68,1959.7,1979.7,Mobile and Wireless broadband,Spectrum Access EE (Uplink),1,20.0,1900.0
69,,,Unallocated,,,30.200000000000045,1900.0
70,,,Unallocated,,,100.0,2000.0
71,2110.3,2124.9,Mobile and Wireless broadband,Spectrum Access Hutchison 3G (Downlink),1,14.599999999999909,2100.0
72,2124.9,2134.9,Mobile and Wireless broadband,Spectrum Access Telefonica (Downlink),1,10.0,2100.0
73,2134.9,2149.7,Mobile and Wireless broadband,Spectrum Access Vodafone (Downlink),1,14.799999999999727,2100.0
74,2149.7,2169.7,Mobile and Wireless broadband,Spectrum Access EE (Downlink),1,20.0,2100.0
75,,,Unallocated,,,40.600000000000364,2100.0
76,,,Unallocated,,,100.0,2200.0
77,2350.0,2390.0,Mobile and Wireless broadband,Spectrum Access Telefonica,1,40.0,2300.0
78,2390.0,2400.0,Mobile and Wireless broadband,Shared Access (Low Power),1,10.0,2300.0
79,2390.0,2400.0,Mobile and Wireless broadband,Shared Access (Medium Power),1,10.0,2300.0
80,,,Unallocated,,,40.0,2300.0
81,,,Unallocated,,,100.0,2400.0
82,2500.0,2520.0,Mobile and Wireless broadband,Spectrum Access Vodafone (Uplink),1,20.0,2500.0
83,2520.0,2535.0,Mobile and Wireless broadband,Spectrum Access EE (Uplink),1,15.0,2500.0
84,2535.0,2570.0,Mobile and Wireless broadband,Spectrum Access EE (Uplink),1,35.0,2500.0
85,2570.0,2595.0,Mobile and Wireless broadband,Spectrum Access Vodafone,1,25.0,2500.0
86,2595.0,2620.0,Mobile and Wireless broadband,Spectrum Access Telefonica,1,25.0,2500.0
87,,,Unallocated,,,0,2500.0
88,2620.0,2640.0,Mobile and Wireless broadband,Spectrum Access Vodafone (Downlink),1,20.0,2600.0
89,2640.0,2655.0,Mobile and Wireless broadband,Spectrum Access EE (Downlink),1,15.0,2600.0
90,2655.0,2690.0,Mobile and Wireless broadband,Spectrum Access EE (Downlink),1,35.0,2600.0
91,,,Unallocated,,,30.0,2600.0
92,,,Unallocated,,,100.0,2700.0
93,,,Unallocated,,,100.0,2800.0
94,,,Unallocated,,,100.0,2900.0
95,,,Unallocated,,,100.0,3000.0
96,,,Unallocated,,,100.0,3100.0
97,,,Unallocated,,,100.0,3200.0
98,,,Unallocated,,,100.0,3300.0
99,3410.0,3460.0,Mobile and Wireless broadband,Spectrum Access Vodafone,1,50.0,3400.0
100,3460.0,3480.0,Mobile and Wireless broadband,Spectrum Access Hutchison 3G,1,20.0,3400.0
101,3480.0,3500.0,Mobile and Wireless broadband,Spectrum Access UK Broadband,1,20.0,3400.0
102,,,Unallocated,,,10.0,3400.0
103,3500.0,3540.0,Mobile and Wireless broadband,Spectrum Access Telefonica,1,40.0,3500.0
104,3540.0,3580.0,Mobile and Wireless broadband,Spectrum Access EE,1,40.0,3500.0
105,3580.0,3600.0,Mobile and Wireless broadband,Spectrum Access UK Broadband,1,20.0,3500.0
106,,,Unallocated,,,0.0,3500.0
107,3600.0,3680.0,Mobile and Wireless broadband,Spectrum Access UK Broadband,1,80.0,3600.0
108,3680.0,3720.0,Mobile and Wireless broadband,Spectrum Access EE,1,40.0,3600.0
109,,,Unallocated,,,0,3600.0
110,3720.0,3760.0,Mobile and Wireless broadband,Spectrum Access Telefonica,1,40.0,3700.0
111,3720.0,3760.0,Mobile and Wireless broadband,Spectrum Access Vodafone,1,40.0,3700.0
112,3760.0,3800.0,Mobile and Wireless broadband,Spectrum Access Telefonica,1,40.0,3700.0
113,,,Unallocated,,,0,3700.0
114,3800.0,4200.0,Mobile and Wireless broadband,Shared Access (Low Power),1,400.0,3800.0
115,3800.0,4200.0,Mobile and Wireless broadband,Shared Access (Medium Power),1,400.0,3800.0
116,,,Unallocated,,,0,3800.0
117,3925.0,4009.0,Mobile and Wireless broadband,Spectrum Access UK Broadband,1,84.0,3900.0
118,,,Unallocated,,,16.0,3900.0
119,,,Unallocated,,,100.0,4000.0
120,,,Unallocated,,,100.0,4100.0
121,,,Unallocated,,,100.0,4200.0
122,,,Unallocated,,,100.0,4300.0
123,,,Unallocated,,,100.0,4400.0
124,,,Unallocated,,,100.0,4500.0
125,,,Unallocated,,,100.0,4600.0
126,,,Unallocated,,,100.0,4700.0
127,,,Unallocated,,,100.0,4800.0
128,,,Unallocated,,,100.0,4900.0
129,,,Unallocated,,,100.0,5000.0
130,,,Unallocated,,,100.0,5100.0
131,,,Unallocated,,,100.0,5200.0
132,,,Unallocated,,,100.0,5300.0
133,,,Unallocated,,,100.0,5400.0
134,,,Unallocated,,,100.0,5500.0
135,,,Unallocated,,,100.0,5600.0
136,5725.0,5850.0,Mobile and Wireless broadband,Fixed Wireless Access (5.8 GHz band),1,125.0,5700.0
137,,,Unallocated,,,0,5700.0
138,,,Unallocated,,,100.0,5800.0
139,,,Unallocated,,,100.0,5900.0
140,,,Unallocated,,,100.0,6000.0
141,,,Unallocated,,,100.0,6100.0
142,,,Unallocated,,,100.0,6200.0
143,,,Unallocated,,,100.0,6300.0
144,,,Unallocated,,,100.0,6400.0
145,,,Unallocated,,,100.0,6500.0
146,,,Unallocated,,,100.0,6600.0
147,,,Unallocated,,,100.0,6700.0
148,,,Unallocated,,,100.0,6800.0
149,,,Unallocated,,,100.0,6900.0
150,,,Unallocated,,,100.0,7000.0
